metric,value
input_mode,internal
flits_requested,3000
requests_delivered,3000
responses_generated,3000
delivered_flits,3000
fdi_backpressure_events,2469
completed_payload_bytes,708000
flit_bytes,256
payload_bytes,236
flit_efficiency,0.921875
memory_delay_ui,32
num_lanes,16
lane_rate_gtps,48
modulation,pam4
serialize_ui,64
active_ns,4706.67
throughput_gbps,1203.4
capacity_gbps,1536
bandwidth_utilization,0.783462
avg_latency_ns,111.262
p50_latency_ns,113.415
p95_latency_ns,161.414
p99_latency_ns,193.414
forward_avg_latency_ns,93.833
forward_p95_latency_ns,151.039
forward_p99_latency_ns,185.705
reverse_avg_latency_ns,16.7621
reverse_p95_latency_ns,49.7075
reverse_p99_latency_ns,57.7074
forward_tx_new_flits,3000
reverse_tx_new_flits,3000
forward_tx_replay_flits,508
reverse_tx_replay_flits,366
forward_ack_count,3000
reverse_ack_count,2999
forward_nak_count,182
reverse_nak_count,166
forward_crc_fail_count,183
reverse_crc_fail_count,179
forward_integrity_errors,0
reverse_integrity_errors,0
tx_new_flits,6000
tx_replay_flits,874
ack_count,5999
nak_count,348
stale_nak_count,0
replay_timeout_events,0
crc_fail_count,362
seq_fail_count,512
duplicate_drop_count,0
max_retry_buffer_occupancy,18
retry_buffer_full_events,0
total_phy_frames,6874
symbol_error_rate,5.31327e-05
bit_error_rate,2.65664e-05
observed_flit_fail_rate,0.127146
deskew_failures,0
extra_error_flits,0
cdr_lock_loss_count,0
integrity_errors,0
watchdog_fired,0
link_state,active
