metric,value
input_mode,internal
flits_requested,3000
requests_delivered,3000
responses_generated,3000
delivered_flits,3000
fdi_backpressure_events,2469
completed_payload_bytes,708000
flit_bytes,256
payload_bytes,236
flit_efficiency,0.921875
memory_delay_ui,32
num_lanes,16
lane_rate_gtps,24
modulation,pam4
serialize_ui,64
active_ns,9413.58
throughput_gbps,601.684
capacity_gbps,768
bandwidth_utilization,0.783443
avg_latency_ns,222.529
p50_latency_ns,226.835
p95_latency_ns,322.836
p99_latency_ns,386.836
forward_avg_latency_ns,187.671
forward_p95_latency_ns,302.086
forward_p99_latency_ns,371.42
reverse_avg_latency_ns,33.5249
reverse_p95_latency_ns,99.4175
reverse_p99_latency_ns,115.418
forward_tx_new_flits,3000
reverse_tx_new_flits,3000
forward_tx_replay_flits,508
reverse_tx_replay_flits,366
forward_ack_count,3000
reverse_ack_count,2999
forward_nak_count,182
reverse_nak_count,166
forward_crc_fail_count,183
reverse_crc_fail_count,179
forward_integrity_errors,0
reverse_integrity_errors,0
tx_new_flits,6000
tx_replay_flits,874
ack_count,5999
nak_count,348
stale_nak_count,0
replay_timeout_events,0
crc_fail_count,362
seq_fail_count,512
duplicate_drop_count,0
max_retry_buffer_occupancy,18
retry_buffer_full_events,0
total_phy_frames,6874
symbol_error_rate,5.31327e-05
bit_error_rate,2.65664e-05
observed_flit_fail_rate,0.127146
deskew_failures,0
extra_error_flits,0
cdr_lock_loss_count,0
integrity_errors,0
watchdog_fired,0
link_state,active
